song,artist
Don't Come Home A-Drinkin' (With Lovin' on Your Mind),Loretta Lynn
Don't Bring Lulu,Dorothy Provine
In My World,Anthrax
On the Radio,Donna Summer
Come Sail Away,Styx
Dream,Priscilla Ahn
Have You Never Been Mellow,Olivia Newton-John
In The Air Tonight,Phil Collins
It's All In The Game,Tommy Edwards
Wake Me Up Before You Go-Go,Wham!
River,Leon Bridges
Welcome Christmas,Dr. Seuss
Bad Case of Loving You,Robert Palmer
Need Freedom,Empire Cast
BRAINS!,Voltaire
Free Your Mind,En Vogue
Make It In America,Victorious Cast
Remember The Music,Jennifer Hudson
The Stroll,The Diamonds
Shiny Happy People,R.E.M.
Toyland,Doris Day
Centerfold,J. Geils Band
Extraordinary,Liz Phair
I Saw Mommy Kissing Santa Claus,Jimmy Boyd
Up Pompeii,Frankie Howerd
Girl,Davy Jones
The Life Of Riley,The Lightning Seeds
Whiskey River,Willie Nelson
50ft Queenie,PJ Harvey
Cherish,The Association
Sight Of The Sun,Fun.
Standing On The Corner,The Four Lads
The Final Countdown,Europe
Alison,Elvis Costello
Night Time Is The Right Time,Roosevelt Sykes
The Spam Song,Monty Python
Fields of Gold,Sting
I Love A Parade,Harry Richman
Spanish Flea,Herb Alpert
Alley Cat,Bent Fabric
I Am Woman,Helen Reddy
Here You Come Again,Dolly Parton
Let the Good Times Roll,Shirley & Lee
Burning Down the House,Talking Heads
You Are My Sunshine,Ray Charles
Rock You Like A Hurricane,Scorpions
Scare Easy,Mudcrutch
Blame It On The Bossa Nova,Eydie Gorme
Own the Night,Chaka Khan
Show Me What I'm Looking For,Carolina Liar
I'm Not Over,Carolina Liar
Hum Along & Dance (Gotta Get Down) ,Janelle Monáe
End of the Beginning,Black Sabbath
Johnny Angel,Shelley Fabares
(Nice Dream),Radiohead
Institutionalized,Suicidal Tendencies
Flinch,Alanis Morissette
Forever Young,Alphaville
Karma Chameleon,Culture Club
Somewhere,Jimi Hendrix
Yakety Sax,Boots Randolph
Learn to Fly,Foo Fighters
Miserable,Lit
City Is Ours,Big Time Rush
Dauðalogn,Sigur Rós
At My Most Beautiful,R.E.M.
Vacation,The Go-Go's
Don't,Rachael Yamagata
Everything,Lifehouse
Don't Look Back In Anger,Oasis
Wish I Knew You,The Revivalists
Both Sides Now,Judy Collins
"Baby Did a Bad, Bad Thing",Chris Isaak
Diagnosis Murder Rap,Dick Van Dyke
You Make My Dreams,Hall & Oates
Oh No,Andrew Bird
Slow Ride,Foghat
Bernadette,The Four Tops
Radar Love,Golden Earring
Chocolate Salty Balls (P.S. I Love You),Chef
Ripple,Grateful Dead
Gimme Dat Ding,The Pipkins
Somewhere Out There,Linda Ronstadt and James Ingram
The Cat Came Back,Fred Penner
Boyfriend,Big Time Rush
Put My Heart Down,Sara Evans
Jump Around,House of Pain
On Battleship Hill,PJ Harvey
New Morning,Alpha Rev
Somebody To Love,Queen
Bad Day,Daniel Powter
Tomorrow,Cast of Annie
Bela Lugosi's Dead,Bauhaus
My Heart Stood Still,Ella Fitzgerald
Nowhere To Run,South Park
Blame It on Me,George Ezra
"Baby, Come To Me",Patti Austin and James Ingram
Isn't She Lovely,Stevie Wonder
"Nobody Move, Nobody Get Hurt",We Are Scientists
Only U,Ashanti
Ac-cent-tchu-ate the Positive,Bing Crosby
Breathe,Ryan Star
Dreams,The Cranberries
Stay Frosty,Van Halen
Nothing Too Much Just Out of Sight,The Fireman
Hunter Of Invisible Game,Bruce Springsteen
Get Together,The Youngbloods
Come Rain Or Come Shine,Margaret Whiting
Kiss Me,Sixpence None the Richer
Salvation,Rancid
Big River,Johnny Cash
All My Friends Are Insects,Weezer
Take Me Away,Lifehouse
The Story,Sara Ramirez
Lovely,Billie Eilish
Good Riddance (Time Of Your Life),Green Day
The Longest Time,Billy Joel
Travelin' Man,Rick Nelson
It Was A Very Good Year,Frank Sinatra
Walkin' After Midnight,Patsy Cline
Dear Father,Black Sabbath
Blue Moon,Beck
The Name Game,Shirley Ellis
Eye of the Tiger,Survivor
White Horse,Taylor Swift
What I Am,Edie Brickell & New Bohemians
I Swear,All-4-One
All I Need,Jack Wagner
Let My Love Open The Door,Pete Townshend
Theme From Mission: Impossible,Lalo Schifrin
A Change Would Do You Good,Sheryl Crow
(Don't Fall Into) The Mason's Arms,Ian Reddington
Falling Away From Me,Korn
Downtown,Petula Clark
You And Me,Attack! Attack!
Ain't No Rest For the Wicked,Cage the Elephant
Pool Party,The Aquabats
Scarborough Fair / Canticle,Simon & Garfunkel
Monster Mash,"Bobby ""Boris"" Pickett & the Crypt-Kickers"
Entropy,Grimes
Ground Zero,Chris Cornell
Only You,Yazoo
Rock 'N Roll Train,AC/DC
Make It Rain,Ed Sheeran
Conqueror,Estelle
Everyday,Buddy Holly
Never Gonna Give You Up,Rick Astley
Peaches N Cream,Snoop Dogg
Working For The Weekend,Loverboy
Everybody Knows ,Leonard Cohen
The Glorious Land,PJ Harvey
This City,Steve Earle
How To Save A Life,The Fray
If Momma Coulda Seen Me,Steve Earle
Life On Mars?,David Bowie
Heat of the Moment,Asia
Hallelujah,Jeff Buckley
It's My Birthday (Remix),Zero DeZire
Bring Me Sunshine,Morecambe & Wise
Girlfriend,Avril Lavigne
You Learn,Alanis Morissette
Shining Star,"Earth, Wind & Fire"
Elephants,Rachael Yamagata
Kiss Like Your Kiss,Lucinda Williams
I'd Rather Be With You,Joshua Radin
Seven Wonders,Fleetwood Mac
Send Me On My Way,Rusted Root
Holly Jolly Christmas,Burl Ives
You Want It Darker,Leonard Cohen
Uncle Harry,Noël Coward
Town Called Malice,The Jam
Spider-Man Theme,Various
"Sunrise, Sunset",Cast of Fiddler on the Roof
You Oughta Know,Alanis Morissette
Tighten Up,The Black Keys
My Bonnie Lies Over The Ocean,Traditional
Closer,Tegan and Sara
Maybe I'm Amazed,Paul McCartney
What Becomes of the Brokenhearted,Jimmy Ruffin
"Eve, The Apple Of My Eye",Bell X1
I Got You (I Feel Good),James Brown
Best Friend's Brother,Victorious Cast
Take Me Home,Phil Collins
Waiting For Tonight,Jennifer Lopez
Turn To Stone,Electric Light Orchestra
Teddy Bear,Red Sovine
All I Have,Jennifer Lopez
Mercury Blues,Alan Jackson
Words Get In The Way,Miami Sound Machine
You Found Me,The Fray
Cannonball,Damien Rice
Cheerleader,St. Vincent
Every Breath You Take,The Police
Head Over Feet,Alanis Morissette
Sing,Travis
You're So Beautiful ,Empire Cast
Everlong,Foo Fighters
Moonlight Desires,Gowan
Ooh Ahh (My Life Be Like),Grits
Touch Me in the Morning,Diana Ross
You Make Me Feel Like A Natural Woman,Aretha Franklin
Line Of Fire,Junip
